date,ts,team_a,team_b,target,elo_diff,form_diff,h2h_diff,rounddiff_diff,event
2026-06-02,1780422300,M80,Sharks Esports,1,-27.16,-0.6,0.0,-3.6,Intel Extreme Masters/2026/Cologne
2026-06-02,1780423800,GamerLegion,FlyQuest,1,81.86,0.4667,0.0,0.422,Intel Extreme Masters/2026/Cologne
2026-06-02,1780426200,BIG,Gaimin Gladiators,1,-16.41,0.3333,0.0,7.833,Intel Extreme Masters/2026/Cologne
2026-06-02,1780428600,BetBoom Team,Team Liquid,1,24.53,0.25,0.0,1.375,Intel Extreme Masters/2026/Cologne
2026-06-03,1780489800,NRG,FlyQuest,1,34.74,0.1286,0.0,0.071,Intel Extreme Masters/2026/Cologne
2026-06-03,1780489800,Sharks Esports,Lynn Vision Gaming,0,-26.5,-0.1,0.0,-1.9,Intel Extreme Masters/2026/Cologne
2026-06-03,1780493700,THUNDERdOWNUNDER,BIG,0,16.13,0.0714,0.0,1.786,Intel Extreme Masters/2026/Cologne
2026-06-03,1780494000,Team Liquid,MIBR,0,-11.34,-0.2,0.0,-0.2,Intel Extreme Masters/2026/Cologne
2026-06-03,1780497600,TYLOO,SINNERS Esports,1,-11.27,0.4,0.0,2.6,Intel Extreme Masters/2026/Cologne
2026-06-03,1780498200,GamerLegion,BetBoom Team,0,48.55,0.2778,0.0,0.333,Intel Extreme Masters/2026/Cologne
2026-06-03,1780506000,M80,B8,0,-47.41,-0.2,0.0,-0.533,Intel Extreme Masters/2026/Cologne
2026-06-03,1780506000,Gaimin Gladiators,HEROIC,0,4.09,-0.3,0.0,-9.7,Intel Extreme Masters/2026/Cologne
2026-06-04,1780574400,THUNDERdOWNUNDER,FlyQuest,0,44.93,0.0333,0.0,-0.733,Intel Extreme Masters/2026/Cologne
2026-06-04,1780574400,TYLOO,Sharks Esports,1,-13.34,0.0667,0.0,1.4,Intel Extreme Masters/2026/Cologne
2026-06-04,1780583400,GamerLegion,BIG,1,40.35,0.2143,0.0,-0.518,Intel Extreme Masters/2026/Cologne
2026-06-04,1780585500,Lynn Vision Gaming,MIBR,0,57.03,0.3,0.0,2.1,Intel Extreme Masters/2026/Cologne
2026-06-04,1780592400,M80,NRG,1,-9.45,-0.0714,0.0,-0.589,Intel Extreme Masters/2026/Cologne
2026-06-04,1780592400,Team Liquid,HEROIC,1,-37.98,-0.1333,0.0,-0.667,Intel Extreme Masters/2026/Cologne
2026-06-05,1780660800,TYLOO,Lynn Vision Gaming,1,-34.18,-0.1,-0.5,-2.3,Intel Extreme Masters/2026/Cologne
2026-06-05,1780669800,Team Liquid,FlyQuest,0,2.24,-0.1143,0.0,-1.843,Intel Extreme Masters/2026/Cologne
