date,ts,team_a,team_b,score_a,score_b,winner,event
2025-06-08,1749401400,FaZe Clan,Legacy,0,2,Legacy,BLAST/Major/2025/Austin
2025-06-08,1749402000,PaiN Gaming,Virtus.pro,0,2,Virtus.pro,BLAST/Major/2025/Austin
2025-06-08,1749409200,OG,Team Falcons,1,2,Team Falcons,BLAST/Major/2025/Austin
2025-06-08,1749412200,MIBR,BetBoom Team,2,0,MIBR,BLAST/Major/2025/Austin
2025-06-09,1749481200,Nemiga Gaming,M80,2,0,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-09,1749481200,TYLOO,HEROIC,1,2,HEROIC,BLAST/Major/2025/Austin
2025-06-09,1749487800,PaiN Gaming,Lynn Vision Gaming,2,0,PaiN Gaming,BLAST/Major/2025/Austin
2025-06-09,1749494100,Team Falcons,MIBR,1,2,MIBR,BLAST/Major/2025/Austin
2025-06-09,1749494700,FURIA,B8,2,1,FURIA,BLAST/Major/2025/Austin
2025-06-09,1749508500,FaZe Clan,3DMAX,0,2,3DMAX,BLAST/Major/2025/Austin
2025-06-10,1749567600,Nemiga Gaming,HEROIC,2,0,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-10,1749576600,B8,Lynn Vision Gaming,1,2,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-10,1749587400,FaZe Clan,MIBR,2,0,FaZe Clan,BLAST/Major/2025/Austin
2026-05-09,1778302800,Aurora Gaming,HEROIC,0,2,HEROIC,PGL/2026/Astana
2026-05-09,1778302800,G2 Esports,Fisher College,2,0,G2 Esports,PGL/2026/Astana
2026-05-09,1778309400,The MongolZ,Magic,2,0,The MongolZ,PGL/2026/Astana
2026-05-09,1778310300,MOUZ,Gentle Mates,2,1,MOUZ,PGL/2026/Astana
2026-05-09,1778320800,Team Spirit,The Huns Esports,2,0,Team Spirit,PGL/2026/Astana
2026-05-09,1778322300,Team Falcons,K27,2,0,Team Falcons,PGL/2026/Astana
2026-05-09,1778326800,PARIVISION,9z Team,0,2,9z Team,PGL/2026/Astana
2026-05-09,1778329800,FURIA,Monte,2,0,FURIA,PGL/2026/Astana
2026-05-10,1778389200,MOUZ,G2 Esports,2,1,MOUZ,PGL/2026/Astana
2026-05-10,1778389200,K27,Gentle Mates,1,2,Gentle Mates,PGL/2026/Astana
2026-05-10,1778400900,Aurora Gaming,The Huns Esports,2,0,Aurora Gaming,PGL/2026/Astana
2026-05-10,1778402400,The MongolZ,Team Spirit,0,2,Team Spirit,PGL/2026/Astana
2026-05-10,1778407500,PARIVISION,Fisher College,2,0,PARIVISION,PGL/2026/Astana
2026-05-10,1778412000,FURIA,HEROIC,2,0,FURIA,PGL/2026/Astana
2026-05-10,1778413800,Monte,Magic,2,0,Monte,PGL/2026/Astana
2026-05-10,1778418600,Team Falcons,9z Team,1,2,9z Team,PGL/2026/Astana
2026-05-11,1778475600,HEROIC,Gentle Mates,0,2,Gentle Mates,PGL/2026/Astana
2026-05-11,1778475600,PARIVISION,Aurora Gaming,0,2,Aurora Gaming,PGL/2026/Astana
2026-05-11,1778482500,The MongolZ,G2 Esports,2,0,The MongolZ,PGL/2026/Astana
2026-05-11,1778484300,Team Falcons,Monte,2,0,Team Falcons,PGL/2026/Astana
2026-05-11,1778493600,MOUZ,9z Team,1,2,9z Team,PGL/2026/Astana
2026-05-11,1778493600,K27,Magic,0,2,Magic,PGL/2026/Astana
2026-05-11,1778504100,The Huns Esports,Fisher College,2,0,The Huns Esports,PGL/2026/Astana
2026-05-11,1778505000,FURIA,Team Spirit,1,2,Team Spirit,PGL/2026/Astana
2026-05-12,1778562000,MOUZ,Aurora Gaming,2,0,MOUZ,PGL/2026/Astana
2026-05-12,1778562000,HEROIC,Magic,1,2,Magic,PGL/2026/Astana
2026-05-12,1778571900,The MongolZ,Team Falcons,1,2,Team Falcons,PGL/2026/Astana
2026-05-12,1778572800,Monte,The Huns Esports,2,1,Monte,PGL/2026/Astana
